0 0 7435 2256  0 7450 2464
3 0,000945 10904 2724 0,001856 10955 2739
19 0,003311 38021 6488 0,004038 34740 6524
35 0,015230 136037 14525 0,015353 99020 15482
51 0,046074 386975 35122 0,043763 344275 39245
67 0,102646 1001726 95075 0,118037 810105 95950
83 0,198458 2217671 185059 0,199023 1846206 183703
99 0,337514 3141981 280256 0,329239 2506087 278952
115 0,527517 4523710 441815 0,524972 3512265 438599
131 0,724421 7034365 650696 0,760401 5490759 657208
147 1,025979 10108033 928115 1,100219 8035179 938566
163 1,405979 13396495 1260059 1,469909 10161085 1279837
179 1,828350 17428062 1680209 1,944025 13621635 1643155
195 2,373961 23413370 2144446 2,520655 18376152 2152752
211 3,030384 29350615 2703428 3,193770 23628397 2719719
227 3,762541 35310488 3329451 3,962312 27392925 3329783
243 4,630350 44620655 4063112 4,869296 34931204 4074254
259 5,597522 53646432 4903344 5,901842 41811402 4923657
275 6,688390 64865685 5889630 7,042771 51057977 5928398
291 7,883794 75730177 6959648 8,313583 58061307 7029621
307 9,274513 88077752 8200930 9,762240 68636456 8117076
323 10,832575 105029974 9520765 11,379220 82171939 9541979
339 12,553681 120642548 10990801 13,187720 95838883 11044478
355 14,461530 135521534 12561057 15,075863 105253676 12561813
371 16,539915 157711003 14313790 17,244047 123191978 14336698
387 19,759771 178210473 16236104 17,677933 138843826 16269364
403 20,607124 202675214 18362254 21,767611 158955578 18449305
419 23,178921 225496474 20590705 24,431179 173661390 20743685
435 25,932844 250679182 23086959 27,317661 195208367 22939595
451 28,996351 284195064 25706251 30,496082 222028520 25741987
467 32,317032 314096710 28517101 33,867828 248073528 28635782
483 35,824154 341889621 31462790 37,444897 265673080 31463760
499 39,527016 382480493 34671674 41,305538 298444114 34706799
515 43,336849 419089686 38124364 45,340565 326458808 38161557
